Team,Player Number,Count,Event,Year
1. ASC Badener Greifs,2,1,Strafe,2025
1. ASC Badener Greifs,2,2,Touchdown,2025
1. ASC Badener Greifs,3,1,1-Extra-Punkt,2025
1. ASC Badener Greifs,4,8,Interception,2025
1. ASC Badener Greifs,4,5,First Down,2025
1. ASC Badener Greifs,4,5,1-Extra-Punkt,2025
1. ASC Badener Greifs,4,12,Touchdown,2025
1. ASC Badener Greifs,6,5,Interception,2025
1. ASC Badener Greifs,6,1,Strafe,2025
1. ASC Badener Greifs,6,3,Touchdown,2025
1. ASC Badener Greifs,9,1,Interception,2025
1. ASC Badener Greifs,11,1,Touchdown,2025
1. ASC Badener Greifs,11,3,First Down,2025
1. ASC Badener Greifs,11,1,Interception,2025
1. ASC Badener Greifs,21,1,Interception,2025
1. ASC Badener Greifs,21,3,First Down,2025
1. ASC Badener Greifs,25,3,Touchdown,2025
1. ASC Badener Greifs,25,2,1-Extra-Punkt,2025
1. ASC Badener Greifs,25,3,First Down,2025
1. ASC Badener Greifs,31,4,Interception,2025
1. ASC Badener Greifs,31,1,Touchdown,2025
1. ASC Badener Greifs,32,5,Touchdown,2025
1. ASC Badener Greifs,32,10,First Down,2025
1. ASC Badener Greifs,32,1,2-Extra-Punkte,2025
1. ASC Badener Greifs,32,5,1-Extra-Punkt,2025
1. ASC Badener Greifs,37,1,Safety (+2),2025
1. ASC Badener Greifs,37,3,1-Extra-Punkt,2025
1. ASC Badener Greifs,37,14,Touchdown,2025
1. ASC Badener Greifs,37,32,First Down,2025
1. ASC Badener Greifs,37,5,Strafe,2025
1. ASC Badener Greifs,55,1,Touchdown,2025
1. ASC Badener Greifs,67,1,Interception,2025
1. ASC Badener Greifs,82,1,Strafe,2025
1. ASC Badener Greifs,82,3,1-Extra-Punkt,2025
1. ASC Badener Greifs,82,7,First Down,2025
1. ASC Badener Greifs,82,8,Touchdown,2025
1. ASC Badener Greifs II,2,1,Touchdown,2025
1. ASC Badener Greifs II,7,1,Strafe,2025
1. ASC Badener Greifs II,10,2,First Down,2025
1. ASC Badener Greifs II,10,1,1-Extra-Punkt,2025
1. ASC Badener Greifs II,10,2,Touchdown,2025
1. ASC Badener Greifs II,11,1,Strafe,2025
1. ASC Badener Greifs II,11,1,Interception,2025
1. ASC Badener Greifs II,16,8,First Down,2025
1. ASC Badener Greifs II,16,5,1-Extra-Punkt,2025
1. ASC Badener Greifs II,16,5,Touchdown,2025
1. ASC Badener Greifs II,23,1,Interception,2025
1. ASC Badener Greifs II,25,3,Touchdown,2025
1. ASC Badener Greifs II,25,1,First Down,2025
1. ASC Badener Greifs II,25,1,Strafe,2025
1. ASC Badener Greifs II,25,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,26,1,Strafe,2025
1. ASC Badener Greifs II,26,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,26,4,Interception,2025
1. ASC Badener Greifs II,26,11,Touchdown,2025
1. ASC Badener Greifs II,26,8,First Down,2025
1. ASC Badener Greifs II,32,11,First Down,2025
1. ASC Badener Greifs II,32,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,32,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,32,2,Interception,2025
1. ASC Badener Greifs II,32,10,Touchdown,2025
1. ASC Badener Greifs II,33,2,Interception,2025
1. ASC Badener Greifs II,47,1,Interception,2025
1. ASC Badener Greifs II,55,1,Strafe,2025
1. ASC Badener Greifs II,55,8,First Down,2025
1. ASC Badener Greifs II,55,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,55,14,Touchdown,2025
1. ASC Badener Greifs II,56,1,Strafe,2025
1. ASC Badener Greifs II,67,1,Touchdown,2025
1. ASC Badener Greifs II,67,7,Interception,2025
1. ASC Badener Greifs II,67,1,Strafe,2025
1. ASC Badener Greifs II,69,2,Touchdown,2025
1. ASC Badener Greifs II,69,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,70,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,70,4,First Down,2025
1. ASC Badener Greifs II,70,4,Touchdown,2025
1. ASC Badener Greifs II,73,1,Strafe,2025
1. ASC Badener Greifs II,74,1,Interception,2025
1. ASC Badener Greifs II,78,8,Touchdown,2025
1. ASC Badener Greifs II,78,3,Strafe,2025
1. ASC Badener Greifs II,78,5,1-Extra-Punkt,2025
1. ASC Badener Greifs II,78,15,First Down,2025
1. ASC Badener Greifs II,79,6,First Down,2025
1. ASC Badener Greifs II,79,7,Touchdown,2025
1. ASC Badener Greifs II,79,1,Strafe,2025
1. ASC Badener Greifs II,79,4,1-Extra-Punkt,2025
1. ASC Badener Greifs II,80,1,1-Extra-Punkt,2025
1. ASC Badener Greifs II,80,1,First Down,2025
1. ASC Badener Greifs II,80,1,Touchdown,2025
1. ASC Badener Greifs II,82,3,1-Extra-Punkt,2025
1. ASC Badener Greifs II,82,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,82,1,First Down,2025
1. ASC Badener Greifs II,82,8,Touchdown,2025
1. ASC Badener Greifs II,90,6,First Down,2025
1. ASC Badener Greifs II,90,4,Touchdown,2025
1. ASC Badener Greifs II,90,2,1-Extra-Punkt,2025
1. ASC Badener Greifs II,93,2,Touchdown,2025
1. ASC Badener Greifs II,93,1,Interception,2025
1. ASC Badener Greifs II,99,1,Strafe,2025
1. ASC Badener Greifs II,99,5,First Down,2025
1. ASC Badener Greifs II,99,1,2-Extra-Punkte,2025
1. ASC Badener Greifs II,99,2,Touchdown,2025
1. ASC Badener Greifs II,99,1,1-Extra-Punkt,2025
Aachen Emperors,0,1,1-Extra-Punkt,2025
Aachen Emperors,0,1,Touchdown,2025
Aachen Emperors,5,1,First Down,2025
Aachen Emperors,10,12,First Down,2025
Aachen Emperors,10,4,Touchdown,2025
Aachen Emperors,10,3,1-Extra-Punkt,2025
Aachen Emperors,10,2,2-Extra-Punkte,2025
Aachen Emperors,11,1,2-Extra-Punkte,2025
Aachen Emperors,11,1,First Down,2025
Aachen Emperors,11,2,1-Extra-Punkt,2025
Aachen Emperors,11,1,Strafe,2025
Aachen Emperors,14,2,Touchdown,2025
Aachen Emperors,14,1,1-Extra-Punkt,2025
Aachen Emperors,15,1,Strafe,2025
Aachen Emperors,15,1,1-Extra-Punkt,2025
Aachen Emperors,15,8,First Down,2025
Aachen Emperors,15,6,Touchdown,2025
Aachen Emperors,17,7,Touchdown,2025
Aachen Emperors,17,1,1-Extra-Punkt,2025
Aachen Emperors,17,4,First Down,2025
Aachen Emperors,21,1,First Down,2025
Aachen Emperors,21,1,Touchdown,2025
Aachen Emperors,21,4,Interception,2025
Aachen Emperors,22,1,Touchdown,2025
Aachen Emperors,22,1,1-Extra-Punkt,2025
Aachen Emperors,24,1,Strafe,2025
Aachen Emperors,24,1,Interception,2025
Aachen Emperors,26,4,Interception,2025
Aachen Emperors,27,2,1-Extra-Punkt,2025
Aachen Emperors,27,3,First Down,2025
Aachen Emperors,27,5,Touchdown,2025
Aachen Emperors,31,1,Touchdown,2025
Aachen Emperors,31,3,Interception,2025
Aachen Emperors,31,1,Strafe,2025
Aachen Emperors,32,1,Interception,2025
Aachen Emperors,36,3,1-Extra-Punkt,2025
Aachen Emperors,36,18,Touchdown,2025
Aachen Emperors,36,11,First Down,2025
Aachen Emperors,41,1,Strafe,2025
Aachen Emperors,41,3,Interception,2025
Aachen Emperors,41,1,First Down,2025
Aachen Emperors,41,1,Safety (+2),2025
Aachen Emperors,41,2,Touchdown,2025
Aachen Emperors,42,1,Strafe,2025
Aachen Emperors,52,2,Interception,2025
Aachen Emperors,52,1,Strafe,2025
Aachen Emperors,69,1,2-Extra-Punkte,2025
Aachen Emperors,69,1,Touchdown,2025
Aachen Emperors,88,4,Touchdown,2025
Aachen Emperors,88,5,First Down,2025
Aachen Emperors,88,1,1-Extra-Punkt,2025
AFC Königsbrunn Ants,3,1,Strafe,2025
AFC Königsbrunn Ants,7,1,Interception,2025
AFC Königsbrunn Ants,8,1,1-Extra-Punkt,2025
AFC Königsbrunn Ants,12,1,Strafe,2025
AFC Königsbrunn Ants,12,1,Interception,2025
AFC Königsbrunn Ants,12,2,Touchdown,2025
AFC Königsbrunn Ants,12,1,1-Extra-Punkt,2025
AFC Königsbrunn Ants,15,1,1-Extra-Punkt,2025
AFC Königsbrunn Ants,15,1,Interception,2025
AFC Königsbrunn Ants,15,3,Touchdown,2025
AFC Königsbrunn Ants,20,1,Strafe,2025
AFC Königsbrunn Ants,20,1,Interception,2025
AFC Königsbrunn Ants,24,2,2-Extra-Punkte,2025
AFC Königsbrunn Ants,24,6,1-Extra-Punkt,2025
AFC Königsbrunn Ants,24,6,First Down,2025
AFC Königsbrunn Ants,24,12,Touchdown,2025
AFC Königsbrunn Ants,25,4,Touchdown,2025
AFC Königsbrunn Ants,25,2,1-Extra-Punkt,2025
AFC Königsbrunn Ants,25,2,First Down,2025
AFC Königsbrunn Ants,26,2,First Down,2025
AFC Königsbrunn Ants,26,3,Touchdown,2025
AFC Königsbrunn Ants,26,2,1-Extra-Punkt,2025
AFC Königsbrunn Ants,27,1,Strafe,2025
AFC Königsbrunn Ants,33,2,Interception,2025
AFC Königsbrunn Ants,33,3,1-Extra-Punkt,2025
AFC Königsbrunn Ants,33,1,First Down,2025
AFC Königsbrunn Ants,33,3,Touchdown,2025
AFC Königsbrunn Ants,33,1,Strafe,2025
AFC Königsbrunn Ants,35,12,Touchdown,2025
AFC Königsbrunn Ants,35,3,1-Extra-Punkt,2025
AFC Königsbrunn Ants,35,5,First Down,2025
AFC Königsbrunn Ants,56,8,First Down,2025
AFC Königsbrunn Ants,56,2,Strafe,2025
AFC Königsbrunn Ants,56,1,Touchdown,2025
AFC Königsbrunn Ants,61,6,Interception,2025
AFC Königsbrunn Ants,61,2,Touchdown,2025
AFC Königsbrunn Ants,63,2,Strafe,2025
AFC Königsbrunn Ants,73,1,First Down,2025
AFC Königsbrunn Ants,73,1,1-Extra-Punkt,2025
AFC Königsbrunn Ants,73,1,Strafe,2025
AFC Königsbrunn Ants,79,3,Interception,2025
AFC Königsbrunn Ants,79,1,Touchdown,2025
AFC Königsbrunn Ants,84,3,1-Extra-Punkt,2025
AFC Königsbrunn Ants,84,1,Strafe,2025
AFC Königsbrunn Ants,84,2,Touchdown,2025
AFC Königsbrunn Ants,84,1,First Down,2025
AFC Remscheid Amboss e.V.,7,1,Safety (+2),2025
AFC Remscheid Amboss e.V.,7,1,Interception,2025
AFC Remscheid Amboss e.V.,7,1,Strafe,2025
AFC Remscheid Amboss e.V.,7,3,Touchdown,2025
AFC Remscheid Amboss e.V.,12,1,1-Extra-Punkt,2025
AFC Remscheid Amboss e.V.,13,3,Touchdown,2025
AFC Remscheid Amboss e.V.,13,1,First Down,2025
AFC Remscheid Amboss e.V.,13,4,Interception,2025
AFC Remscheid Amboss e.V.,13,1,1-Extra-Punkt,2025
AFC Remscheid Amboss e.V.,14,1,Touchdown,2025
AFC Remscheid Amboss e.V.,15,1,First Down,2025
AFC Remscheid Amboss e.V.,22,1,Touchdown,2025
AFC Remscheid Amboss e.V.,44,2,First Down,2025
AFC Remscheid Amboss e.V.,44,1,Touchdown,2025
AFC Remscheid Amboss e.V.,50,1,2-Extra-Punkte,2025
AFC Remscheid Amboss e.V.,50,1,First Down,2025
AFC Remscheid Amboss e.V.,50,3,Touchdown,2025
AFC Remscheid Amboss e.V.,87,1,Touchdown,2025
AFC Remscheid Amboss e.V.,89,1,Interception,2025
AFC Remscheid Amboss e.V.,89,3,Touchdown,2025
Alzey Lions,0,1,Interception,2025
Alzey Lions,4,1,1-Extra-Punkt,2025
Alzey Lions,4,1,First Down,2025
Alzey Lions,10,2,Touchdown,2025
Alzey Lions,10,1,Strafe,2025
Alzey Lions,10,1,First Down,2025
Alzey Lions,10,2,Interception,2025
Alzey Lions,26,1,Touchdown,2025
Alzey Lions,26,1,1-Extra-Punkt,2025
Alzey Lions,26,1,Strafe,2025
Alzey Lions,50,4,Touchdown,2025
Alzey Lions,50,1,First Down,2025
Alzey Lions,77,2,First Down,2025
Alzey Lions,77,1,Interception,2025
Alzey Lions,77,2,1-Extra-Punkt,2025
Alzey Lions,77,6,Touchdown,2025
Alzey Lions,88,1,Touchdown,2025
Alzey Lions,88,1,First Down,2025
Alzey Lions,88,1,Strafe,2025
Alzey Lions,88,1,1-Extra-Punkt,2025
Ansbach Margraves,7,1,Strafe,2025
Ansbach Margraves,19,1,Strafe,2025
Ansbach Margraves,26,4,Touchdown,2025
Ansbach Margraves,26,1,1-Extra-Punkt,2025
Ansbach Margraves,62,1,First Down,2025
Ansbach Margraves,62,1,Touchdown,2025
Ansbach Margraves,62,2,Strafe,2025
Ansbach Margraves,79,3,Strafe,2025
Ansbach Margraves,79,2,First Down,2025
Ansbach Margraves,79,2,1-Extra-Punkt,2025
Ansbach Margraves,79,2,Touchdown,2025
Ansbach Margraves,99,1,First Down,2025
Ansbach Margraves,99,1,Interception,2025
ASC Magdeburg e.V.,2,1,Touchdown,2025
ASC Magdeburg e.V.,2,4,Interception,2025
ASC Magdeburg e.V.,3,1,First Down,2025
ASC Magdeburg e.V.,8,1,1-Extra-Punkt,2025
ASC Magdeburg e.V.,8,1,Touchdown,2025
ASC Magdeburg e.V.,10,1,First Down,2025
ASC Magdeburg e.V.,10,1,1-Extra-Punkt,2025
ASC Magdeburg e.V.,10,3,Touchdown,2025
ASC Magdeburg e.V.,18,2,Interception,2025
ASC Magdeburg e.V.,19,4,First Down,2025
ASC Magdeburg e.V.,19,1,Touchdown,2025
ASC Magdeburg e.V.,23,3,First Down,2025
ASC Magdeburg e.V.,26,1,Touchdown,2025
ASC Magdeburg e.V.,26,1,Interception,2025
ASC Magdeburg e.V.,42,1,First Down,2025
ASC Magdeburg e.V.,42,2,Touchdown,2025
ASC Magdeburg e.V.,55,1,Interception,2025
ASC Magdeburg e.V.,67,3,First Down,2025
ASC Magdeburg e.V.,67,3,1-Extra-Punkt,2025
ASC Magdeburg e.V.,67,2,Touchdown,2025
ASC Magdeburg e.V.,99,1,Touchdown,2025
ASC Magdeburg e.V.,99,3,Interception,2025
Augsburg Centurions,0,4,First Down,2025
Augsburg Centurions,0,8,Touchdown,2025
Augsburg Centurions,0,1,Safety (+2),2025
Augsburg Centurions,0,3,Interception,2025
Augsburg Centurions,0,1,1-Extra-Punkt,2025
Augsburg Centurions,1,3,Strafe,2025
Augsburg Centurions,2,1,Strafe,2025
Augsburg Centurions,2,3,First Down,2025
Augsburg Centurions,2,5,Touchdown,2025
Augsburg Centurions,2,1,Safety (+2),2025
Augsburg Centurions,2,4,Interception,2025
Augsburg Centurions,2,4,1-Extra-Punkt,2025
Augsburg Centurions,10,2,Touchdown,2025
Augsburg Centurions,13,1,First Down,2025
Augsburg Centurions,14,1,Interception,2025
Augsburg Centurions,17,5,Touchdown,2025
Augsburg Centurions,17,3,First Down,2025
Augsburg Centurions,17,1,1-Extra-Punkt,2025
Augsburg Centurions,22,1,First Down,2025
Augsburg Centurions,22,1,1-Extra-Punkt,2025
Augsburg Centurions,22,1,Strafe,2025
Augsburg Centurions,24,6,Interception,2025
Augsburg Centurions,24,10,Touchdown,2025
Augsburg Centurions,24,2,First Down,2025
Augsburg Centurions,24,4,1-Extra-Punkt,2025
Augsburg Centurions,24,1,Strafe,2025
Augsburg Centurions,27,1,Interception,2025
Augsburg Centurions,32,2,Interception,2025
Augsburg Centurions,33,2,Touchdown,2025
Augsburg Centurions,33,3,First Down,2025
Augsburg Centurions,33,2,1-Extra-Punkt,2025
Augsburg Centurions,73,2,Touchdown,2025
Augsburg Centurions,73,1,Strafe,2025
Augsburg Centurions,73,4,Interception,2025
Augsburg Centurions,73,1,First Down,2025
Augsburg Lions,1,1,Safety (+2),2025
Augsburg Lions,1,1,Interception,2025
Augsburg Lions,1,3,Strafe,2025
Augsburg Lions,5,3,2-Extra-Punkte,2025
Augsburg Lions,5,3,Strafe,2025
Augsburg Lions,5,7,Touchdown,2025
Augsburg Lions,5,11,First Down,2025
Augsburg Lions,15,1,1-Extra-Punkt,2025
Augsburg Lions,15,3,2-Extra-Punkte,2025
Augsburg Lions,15,1,Strafe,2025
Augsburg Lions,15,17,Touchdown,2025
Augsburg Lions,15,9,First Down,2025
Augsburg Lions,17,6,Safety (+2),2025
Augsburg Lions,17,1,Strafe,2025
Augsburg Lions,19,1,Touchdown,2025
Augsburg Lions,19,2,First Down,2025
Augsburg Lions,19,1,2-Extra-Punkte,2025
Augsburg Lions,21,2,Strafe,2025
Augsburg Lions,21,6,Touchdown,2025
Augsburg Lions,21,1,1-Extra-Punkt,2025
Augsburg Lions,21,5,First Down,2025
Augsburg Lions,23,1,Touchdown,2025
Augsburg Lions,23,8,Interception,2025
Augsburg Lions,25,14,First Down,2025
Augsburg Lions,25,9,2-Extra-Punkte,2025
Augsburg Lions,25,17,Touchdown,2025
Augsburg Lions,26,1,Interception,2025
Augsburg Lions,26,1,Touchdown,2025
Augsburg Lions,26,1,Strafe,2025
Augsburg Lions,54,1,Interception,2025
Augsburg Lions,54,1,Strafe,2025
Augsburg Lions,72,7,Interception,2025
Augsburg Lions,72,1,Strafe,2025
Augsburg Lions,80,26,First Down,2025
Augsburg Lions,80,4,2-Extra-Punkte,2025
Augsburg Lions,80,13,Touchdown,2025
Augsburg Lions,80,2,1-Extra-Punkt,2025
Augsburg Lions,81,3,Strafe,2025
Augsburg Lions,81,13,First Down,2025
Augsburg Lions,81,8,2-Extra-Punkte,2025
Augsburg Lions,81,14,Touchdown,2025
Augsburg Lions,82,1,Interception,2025
Augsburg Lions II,1,2,Touchdown,2025
Augsburg Lions II,2,1,Strafe,2025
Augsburg Lions II,2,1,First Down,2025
Augsburg Lions II,2,2,Touchdown,2025
Augsburg Lions II,3,1,Strafe,2025
Augsburg Lions II,3,1,First Down,2025
Augsburg Lions II,7,2,Strafe,2025
Augsburg Lions II,7,6,First Down,2025
Augsburg Lions II,7,1,1-Extra-Punkt,2025
Augsburg Lions II,7,1,Touchdown,2025
Augsburg Lions II,8,4,Touchdown,2025
Augsburg Lions II,8,5,First Down,2025
Augsburg Lions II,8,1,1-Extra-Punkt,2025
Augsburg Lions II,10,1,Strafe,2025
Augsburg Lions II,11,3,Touchdown,2025
Augsburg Lions II,11,1,Strafe,2025
Augsburg Lions II,11,3,First Down,2025
Augsburg Lions II,14,3,Interception,2025
Augsburg Lions II,20,1,1-Extra-Punkt,2025
Augsburg Lions II,20,1,Touchdown,2025
Augsburg Lions II,20,1,Strafe,2025
Augsburg Lions II,20,4,First Down,2025
Augsburg Lions II,21,1,Touchdown,2025
Augsburg Lions II,21,1,Interception,2025
Augsburg Lions II,33,4,Interception,2025
Augsburg Lions II,33,1,First Down,2025
Augsburg Lions II,33,1,Touchdown,2025
Augsburg Lions II,37,1,First Down,2025
Augsburg Lions II,44,2,First Down,2025
Augsburg Lions II,55,2,First Down,2025
Augsburg Lions II,55,2,Strafe,2025
Augsburg Lions II,55,3,Touchdown,2025
Augsburg Lions II,55,1,1-Extra-Punkt,2025
Augsburg Lions II,59,1,Touchdown,2025
Augsburg Lions II,86,4,Touchdown,2025
Augsburg Lions II,86,8,First Down,2025
Augsburg Lions II,97,1,1-Extra-Punkt,2025
Augsburg Lions II,97,1,Touchdown,2025
Augsburg Lions III,1,3,First Down,2025
Augsburg Lions III,6,2,Interception,2025
Augsburg Lions III,7,1,First Down,2025
Augsburg Lions III,7,1,Strafe,2025
Augsburg Lions III,8,1,Strafe,2025
Augsburg Lions III,8,1,Interception,2025
Augsburg Lions III,8,1,Touchdown,2025
Augsburg Lions III,10,1,Strafe,2025
Augsburg Lions III,12,2,First Down,2025
Augsburg Lions III,12,1,1-Extra-Punkt,2025
Augsburg Lions III,14,1,Strafe,2025
Augsburg Lions III,20,7,First Down,2025
Augsburg Lions III,20,1,1-Extra-Punkt,2025
Augsburg Lions III,20,4,Touchdown,2025
Augsburg Lions III,20,2,Strafe,2025
Augsburg Lions III,23,2,Interception,2025
Augsburg Lions III,27,2,Strafe,2025
Augsburg Lions III,27,5,First Down,2025
Augsburg Lions III,27,2,Touchdown,2025
Augsburg Lions III,30,1,Strafe,2025
Augsburg Lions III,30,1,First Down,2025
Augsburg Lions III,30,2,Touchdown,2025
Augsburg Lions III,33,1,Touchdown,2025
Augsburg Lions III,33,1,1-Extra-Punkt,2025
Augsburg Lions III,33,1,Interception,2025
Augsburg Lions III,33,4,First Down,2025
Augsburg Lions III,36,3,First Down,2025
Augsburg Lions III,36,3,Touchdown,2025
Augsburg Lions III,36,3,Interception,2025
Augsburg Lions III,36,2,Strafe,2025
Augsburg Lions III,40,2,Strafe,2025
Augsburg Lions III,40,3,First Down,2025
Augsburg Lions III,40,2,Touchdown,2025
Augsburg Lions III,44,1,Strafe,2025
Augsburg Lions III,44,2,Touchdown,2025
Augsburg Lions III,44,1,Interception,2025
Augsburg Lions III,56,3,Interception,2025
Augsburg Lions III,59,1,Touchdown,2025
Augsburg Lions III,59,1,First Down,2025
Augsburg Lions III,80,1,First Down,2025
Augsburg Lions III,85,5,Interception,2025
Augsburg Lions III,86,2,First Down,2025
Augsburg Lions III,86,1,Touchdown,2025
Augsburg Lions III,86,2,1-Extra-Punkt,2025
Augsburg Lions III,86,2,Strafe,2025
Augsburg Lions III,97,1,1-Extra-Punkt,2025
AugsburgLions,7,3,1-Extra-Punkt,2025
AugsburgLions,7,4,Touchdown,2025
AugsburgLions,8,6,1-Extra-Punkt,2025
AugsburgLions,8,14,Touchdown,2025
AugsburgLions,8,1,Strafe,2025
AugsburgLions,8,1,First Down,2025
AugsburgLions,11,1,Interception,2025
AugsburgLions,15,1,Interception,2025
AugsburgLions,20,10,1-Extra-Punkt,2025
AugsburgLions,20,4,Touchdown,2025
AugsburgLions,20,1,Strafe,2025
AugsburgLions,20,15,First Down,2025
AugsburgLions,23,1,1-Extra-Punkt,2025
AugsburgLions,23,6,Interception,2025
AugsburgLions,23,2,Touchdown,2025
AugsburgLions,24,3,Touchdown,2025
AugsburgLions,24,1,Strafe,2025
AugsburgLions,24,2,First Down,2025
AugsburgLions,24,2,Interception,2025
AugsburgLions,25,1,Strafe,2025
AugsburgLions,40,2,Touchdown,2025
AugsburgLions,40,2,First Down,2025
AugsburgLions,40,2,1-Extra-Punkt,2025
AugsburgLions,55,1,1-Extra-Punkt,2025
AugsburgLions,55,4,Interception,2025
AugsburgLions,55,1,Touchdown,2025
AugsburgLions,69,11,Touchdown,2025
AugsburgLions,69,4,1-Extra-Punkt,2025
AugsburgLions,69,1,Strafe,2025
AugsburgLions,69,4,First Down,2025
Bad Homburg Sentiflags,6,1,Safety (+2),2025
Bad Homburg Sentiflags,11,1,Interception,2025
Bad Homburg Sentiflags,12,4,Touchdown,2025
Bad Homburg Sentiflags,12,1,1-Extra-Punkt,2025
Bad Homburg Sentiflags,24,3,First Down,2025
Bad Homburg Sentiflags,24,1,Touchdown,2025
Bad Homburg Sentiflags,24,2,Interception,2025
Bad Homburg Sentiflags,24,2,1-Extra-Punkt,2025
Bad Homburg Sentiflags,24,1,Strafe,2025
Bad Homburg Sentiflags,25,2,First Down,2025
Bad Homburg Sentiflags,27,1,Interception,2025
Bad Homburg Sentiflags,28,1,First Down,2025
Bad Homburg Sentiflags,28,1,Touchdown,2025
Bad Homburg Sentiflags,58,1,Interception,2025
Bad Homburg Sentiflags,82,3,Touchdown,2025
Bad Homburg Sentiflags,82,1,1-Extra-Punkt,2025
Bad Homburg Sentiflags,82,2,First Down,2025
Bad Homburg Sentiflags,87,1,Strafe,2025
Bad Tölz Capricorns,4,2,Touchdown,2025
Bad Tölz Capricorns,4,2,First Down,2025
Bad Tölz Capricorns,4,2,Interception,2025
Bad Tölz Capricorns,8,1,1-Extra-Punkt,2025
Bad Tölz Capricorns,8,2,First Down,2025
Bad Tölz Capricorns,20,1,Touchdown,2025
Bad Tölz Capricorns,33,3,Touchdown,2025
Bad Tölz Capricorns,33,2,1-Extra-Punkt,2025
Bad Tölz Capricorns,33,1,Safety (+2),2025
Bad Tölz Capricorns,33,2,First Down,2025
Bad Tölz Capricorns,49,3,First Down,2025
Bad Tölz Capricorns,49,3,Touchdown,2025
Bad Tölz Capricorns,49,2,1-Extra-Punkt,2025
Bad Tölz Capricorns,56,2,Interception,2025
Bad Tölz Capricorns,85,1,Interception,2025
Bad Tölz Capricorns,98,1,Interception,2025
Bad Tölz Capricorns,99,2,First Down,2025
Baltic Blue Stars Rostock e.V.,3,1,1-Extra-Punkt,2025
Baltic Blue Stars Rostock e.V.,3,11,Touchdown,2025
Baltic Blue Stars Rostock e.V.,3,9,First Down,2025
Baltic Blue Stars Rostock e.V.,3,2,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,3,1,Strafe,2025
Baltic Blue Stars Rostock e.V.,11,3,Touchdown,2025
Baltic Blue Stars Rostock e.V.,16,1,Strafe,2025
Baltic Blue Stars Rostock e.V.,16,1,1-Extra-Punkt,2025
Baltic Blue Stars Rostock e.V.,16,4,First Down,2025
Baltic Blue Stars Rostock e.V.,16,6,Touchdown,2025
Baltic Blue Stars Rostock e.V.,16,1,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,18,1,First Down,2025
Baltic Blue Stars Rostock e.V.,20,1,Touchdown,2025
Baltic Blue Stars Rostock e.V.,21,1,Interception,2025
Baltic Blue Stars Rostock e.V.,22,1,First Down,2025
Baltic Blue Stars Rostock e.V.,22,1,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,23,2,Interception,2025
Baltic Blue Stars Rostock e.V.,23,1,First Down,2025
Baltic Blue Stars Rostock e.V.,24,3,Touchdown,2025
Baltic Blue Stars Rostock e.V.,24,1,Strafe,2025
Baltic Blue Stars Rostock e.V.,24,2,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,24,4,First Down,2025
Baltic Blue Stars Rostock e.V.,26,1,Strafe,2025
Baltic Blue Stars Rostock e.V.,30,3,First Down,2025
Baltic Blue Stars Rostock e.V.,30,1,Touchdown,2025
Baltic Blue Stars Rostock e.V.,37,8,First Down,2025
Baltic Blue Stars Rostock e.V.,37,2,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,37,9,Touchdown,2025
Baltic Blue Stars Rostock e.V.,41,5,Interception,2025
Baltic Blue Stars Rostock e.V.,82,1,2-Extra-Punkte,2025
Baltic Blue Stars Rostock e.V.,82,6,Touchdown,2025
Baltic Blue Stars Rostock e.V.,82,3,First Down,2025
Baltic Blue Stars Rostock e.V.,82,1,Strafe,2025
Bamberg Phantoms,7,1,2-Extra-Punkte,2025
Bamberg Phantoms,7,1,Touchdown,2025
Bamberg Phantoms,7,2,First Down,2025
Bamberg Phantoms,8,3,First Down,2025
Bamberg Phantoms,8,2,Touchdown,2025
Bamberg Phantoms,10,1,Touchdown,2025
Bamberg Phantoms,15,2,Touchdown,2025
Bamberg Phantoms,15,2,Strafe,2025
Bamberg Phantoms,15,1,Interception,2025
Bamberg Phantoms,19,1,Strafe,2025
Bamberg Phantoms,22,1,Touchdown,2025
Bamberg Phantoms,22,2,2-Extra-Punkte,2025
Bamberg Phantoms,25,2,First Down,2025
Bamberg Phantoms,25,1,1-Extra-Punkt,2025
Bamberg Phantoms,25,2,Touchdown,2025
Bamberg Phantoms,55,1,First Down,2025
Bamberg Phantoms,55,2,Strafe,2025
Bamberg Phantoms,78,1,Strafe,2025
Bamberg Phantoms,85,1,Touchdown,2025
Bamberg Phantoms,85,1,1-Extra-Punkt,2025
Bamberg Phantoms,89,1,Touchdown,2025
Bamberg Phantoms,93,1,1-Extra-Punkt,2025
Bedburg Raccoons,5,1,Interception,2025
Bedburg Raccoons,5,2,Touchdown,2025
Bedburg Raccoons,9,6,First Down,2025
